ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
414,Slipids,POPE (1),310.0,50.0,1.0,0.568,0.8488,0.0063
747,Charmm-Drude polarizable,POPE (1),308.0,32.0,0.9467,0.5614,0.6934,0.2974
750,Charmm-Drude polarizable2023,POPE (1),308.0,32.0,0.9718,0.543,0.6666,0.2956
751,Charmm-Drude polarizable2023,POPE (1),308.0,32.0,0.9964,0.5239,0.6437,0.2844
74,Slipids,POPE (1),310.0,40.1,,0.4909,0.6859,0.1012
29,Slipids,POPE (1),310.0,40.1,,0.4784,0.6666,0.1021
400,GROMOS-CKP,POPE (1),310.0,50.0,0.9186,0.4566,0.5374,0.2949
430,CHARMM36,POPE (1),310.0,40.0,0.4993,0.3369,0.236,0.5386
233,CHARMM36-UA,POPE (1),310.0,45.4,0.9536,0.319,0.342,0.2728
352,CHARMM36-UA,POPE (1),310.0,45.4,0.9529,0.3161,0.3144,0.3195
731,Charmm-Drude,POPE (1),310.0,35.0,0.0,0.2249,0.3076,0.0593
67,CHARMM36,POPE (1),310.0,50.0,0.3167,0.2142,0.0564,0.5297
790,Charmm36,POPE (1),310.0,40.0,0.2055,0.1891,0.0973,0.3724
730,AMOEBA,POPE (1),310.0,40.0,0.0069,0.1774,0.1632,0.2059
195,Lipid17,POPE (1),310.0,50.0,0.3519,0.1568,0.1927,0.085
882,OPLS-aa,POPE (1),310.0,40.0,0.123,0.065,0.0753,0.0445
