ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
906,CHARMM36m,PILPC (1),303.15,42.0,,0.3631,0.3631,
908,CHARMM36m,PILPC (1),303.15,42.0,,0.3597,0.3597,
