ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
835,FF-development,300.0,40.0,POPC (1),6.355,0.1023,0.0058,0.2953
838,Parsley 1.3.1,300.0,40.0,POPC (1),5.255,0.183,0.0182,0.5127
730,AMOEBA,310.0,40.0,POPE (1),3.8,0.1791,0.1657,0.2059
82,slipids,298.0,39.7,CHOL:POPC (1:1),3.3858,0.2087,0.1953,0.1765
834,Sage2.2.0 Espaloma Charges,300.0,40.0,POPC (1),3.045,0.3115,0.1992,0.5361
502,Berger,298.0,35.0,POPS (1),2.4,0.0611,0.0272,0.1288
828,Sage 2.2.1,300.0,40.0,POPC (1),2.355,0.3899,0.3101,0.5495
714,Lipid17,298.15,50.0,CHOL:POPC (7:8),2.3517,,,
707,Lipid17,298.15,50.0,CHOL:POPC (7:8),2.3517,,,
671,MacRog,298.15,50.0,CHOL:POPC (7:8),2.3267,,,
699,MacRog,298.15,50.0,CHOL:POPC (7:8),2.3267,,,
480,Berger,298.0,35.0,POPS (1),2.3,0.0545,0.0278,0.1078
27,CHARMM36,333.15,50.0,DPPC (1),2.262,,,
91,CHARMM36,298.15,50.0,CHOL:POPC (7:8),2.2517,,,
166,CHARMM36,298.15,50.0,CHOL:POPC (7:8),2.2517,,,
543,CHARMM36,298.15,50.0,CHOL:POPC (7:8),2.2517,,,
717,Lipid17,298.15,50.0,CHOL:POPC (7:8),2.2517,,,
275,CHARMM36,298.15,50.0,CHOL:POPC (5:8),2.2339,,,
620,CHARMM36,298.15,50.0,CHOL:POPC (5:8),2.2339,,,
698,MacRog,298.15,50.0,CHOL:POPC (5:8),2.2099,,,
472,OPLSAA-compatible Berger-DPPC-06,323.0,40.0,DPPC (1),2.202,,,
106,CHARMM36,298.0,35.0,POPS (1),2.2,0.0849,0.0389,0.177
254,CHARMM36,333.15,50.0,DPPC (1),2.162,,,
309,CHARMM36,333.15,50.0,DPPC (1),2.162,,,
836,FF-development,300.0,40.0,POPC (1),2.155,0.3347,0.4433,0.1176
550,CHARMM36,298.15,50.0,CHOL:POPC (5:8),2.1339,,,
716,MacRog,298.15,50.0,CHOL:POPC (5:8),2.1098,,,
483,Lipid17 and Dang ions,298.0,50.0,POPS (1),2.1,0.042,0.0231,0.0799
510,CHARMM36,333.15,50.0,DMPC (1),2.094,,,
42,CHARMM36,333.15,50.0,DMPC (1),2.094,,,
792,OpenFF,300.0,39.1,POPC (1),2.055,0.5635,0.5485,0.5935
704,MacRog,298.15,50.0,CHOL:POPC (7:8),2.0517,,,
679,MacRog,298.15,50.0,CHOL:POPC (5:8),2.0339,,,
790,Charmm36,310.0,40.0,POPE (1),2.0,0.2271,0.1544,0.3724
765,Charmm36,328.15,45.0,SM16 (1),2.0,0.3412,0.1706,0.0
356,CHARMM36,333.15,50.0,DMPC (1),1.994,,,
832,FF-development,300.0,40.0,POPC (1),1.845,0.2767,0.1768,0.4766
292,MacRog,298.0,35.0,POPS (1),1.8,0.1134,0.075,0.1902
438,CHARMM36,325.0,40.0,DPPC (1),1.798,,,
761,OpenFF,300.0,39.1,POPC (1),1.755,0.568,0.5584,0.5872
682,Slipids,298.15,50.0,CHOL:POPC (7:8),1.7517,,,
703,Slipids,298.15,50.0,CHOL:POPC (7:8),1.7517,,,
712,Slipids,298.15,50.0,CHOL:POPC (7:8),1.7517,,,
661,Slipids,298.15,50.0,CHOL:POPC (5:8),1.7339,,,
688,Lipid17,298.15,50.0,CHOL:POPC (5:8),1.7339,,,
5,CHARMM36,298.0,35.0,POPS (1),1.7,0.1332,0.069,0.2618
67,CHARMM36,310.0,50.0,POPE (1),1.7,0.2471,0.1058,0.5297
171,"CHARMM36 (center of mass removed independently for upper leaflet, lower leaflet and water+ions)",325.0,40.0,DPPC (1),1.698,,,
199,"CHARMM36 (center of mass removed independently for upper leaflet, lower leaflet and water+ions)",325.0,30.4,DPPC (1),1.698,,,
319,CHARMM36,323.0,30.4,DPPC (1),1.698,,,
390,GAFFlipid,323.0,30.5,DPPC (1),1.698,,,
842,PROSECCO,298.0,40.0,POPS (1),1.677,0.097,0.021,0.2491
833,FF-development,300.0,40.0,POPC (1),1.645,0.2948,0.1773,0.5299
668,Slipids,298.15,50.0,CHOL:POPC (5:8),1.6339,,,
670,Slipids,298.15,50.0,CHOL:POPC (5:8),1.6339,,,
533,CHARMM36,303.0,31.1,POPC (1),1.622,,,
195,Lipid17,310.0,50.0,POPE (1),1.6,0.1874,0.2386,0.085
26,MacRog,298.0,35.0,POPS (1),1.6,0.1021,0.0702,0.1659
546,CHARMM36,298.15,50.0,POPC (1),1.555,0.3669,0.2666,0.5675
829,Sage 2.2.1,300.0,40.0,POPC (1),1.555,0.5107,0.7091,0.114
694,Lipid17,298.15,50.0,CHOL:POPC (5:8),1.5339,,,
673,Lipid17,298.15,50.0,CHOL:POPC (5:8),1.5339,,,
525,CHARMM36,298.15,50.0,CHOL:POPC (1:4),1.5258,,,
72,CHARMM36,298.15,50.0,CHOL:POPC (1:4),1.5258,,,
501,Berger,323.0,39.8,DMPC (1),1.52,,,
41,Berger-DPPC-98,323.0,40.0,DPPC (1),1.502,,,
87,CHARMM36,325.0,40.0,DPPC (1),1.498,,,
678,CHARMM36,298.15,50.0,POPC (1),1.455,0.3912,0.2693,0.6351
547,CHARMM36,323.15,50.0,DOPC (1),1.436,,,
820,CHARMM36,303.15,50.0,SOPC (1),1.429,,,
88,CHARMM36,298.15,50.0,CHOL:POPC (1:4),1.4258,,,
837,FF-development,300.0,40.0,POPC (1),1.355,0.5638,0.5676,0.5561
202,GROMOS-CKP,298.0,50.0,POPC (1),1.355,0.152,0.1918,0.0724
104,CHARMM36,323.15,50.0,DOPC (1),1.336,,,
325,CHARMM36,323.15,50.0,DOPC (1),1.336,,,
612,CHARMM36,303.0,40.0,POPC (1),1.322,,,
