ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
803,OPLS4,300.0,20.0,POPC (1),,0.8135,0.8683,0.7039
815,OPLS3e,300.0,20.0,POPC (1),,0.8112,0.8669,0.6996
805,OPLS3e,300.0,44.3,POPC (1),0.155,0.8051,0.8422,0.7309
814,OPLS4,300.0,45.0,POPC (1),0.155,0.8,0.8361,0.7278
804,OPLS4,300.0,12.0,POPC (1),,0.7984,0.85,0.6952
802,OPLS4,300.0,7.5,POPC (1),,0.7734,0.8034,0.7135
796,OPLS3e,300.0,5.0,POPC (1),,0.7709,0.7824,0.7478
830,C36_Slipids_Hybrid,298.0,50.0,POPC (1),0.755,0.717,0.7447,0.6615
817,OPLS4,300.0,5.0,POPC (1),,0.7092,0.722,0.6836
658,MacRog,298.15,50.0,POPC (1),0.645,0.6963,0.707,0.6749
617,Slipids,298.0,46.8,POPC (1),0.455,0.6921,0.7281,0.6203
684,Lipid17,298.15,50.0,POPC (1),0.245,0.6725,0.7239,0.5697
457,MacRog,300.0,40.0,POPC (1),0.545,0.6676,0.6858,0.6312
657,Lipid17,298.15,50.0,POPC (1),0.245,0.6659,0.7211,0.5554
798,CHARMM36,300.0,12.0,POPC (1),,0.6657,0.6866,0.624
674,MacRog,298.15,50.0,POPC (1),0.545,0.665,0.6968,0.6013
675,MacRog,298.15,50.0,POPC (1),0.545,0.659,0.6605,0.6558
715,Lipid17,298.15,50.0,POPC (1),0.145,0.6511,0.7313,0.4905
806,CHARMM36,300.0,7.5,POPC (1),,0.6489,0.6295,0.6877
606,MacRog,298.0,20.0,POPC (1),,0.6434,0.6602,0.6098
696,Slipids,298.15,50.0,POPC (1),0.455,0.6426,0.669,0.5897
831,C36_Slipids_Hybrid,298.0,50.0,POPC (1),0.955,0.6389,0.6286,0.6595
708,Slipids,298.15,50.0,POPC (1),0.555,0.5997,0.6177,0.5637
82,slipids,298.0,39.7,CHOL:POPC (1:1),3.3858,0.5992,0.5458,0.7061
63,MacRog,298.0,50.0,POPC (1),0.545,0.5974,0.5853,0.6216
797,OpenFF,300.0,40.0,POPC (1),1.055,0.5887,0.5704,0.6252
761,OpenFF,300.0,39.1,POPC (1),1.755,0.568,0.5584,0.5872
837,FF-development,300.0,40.0,POPC (1),1.355,0.5638,0.5676,0.5561
792,OpenFF,300.0,39.1,POPC (1),2.055,0.5635,0.5485,0.5935
664,Slipids,298.15,50.0,POPC (1),0.755,0.5565,0.5601,0.5492
573,ECC-lipids,300.0,50.0,POPC (1),0.555,0.5506,0.4977,0.6565
829,Sage 2.2.1,300.0,40.0,POPC (1),1.555,0.5107,0.7091,0.114
497,Berger,298.0,57.0,POPC (1),1.045,0.4977,0.7327,0.0277
115,Berger,300.0,40.4,POPC (1),0.945,0.4918,0.733,0.0095
43,ECC-lipids,300.0,50.0,POPC (1),0.755,0.4675,0.3767,0.649
305,Berger and Modified Höltje model for cholesterol,298.0,57.0,CHOL:POPC (1:15),0.7548,0.4485,0.6601,0.0253
558,CHARMM36,300.0,38.2,POPC (1),1.255,0.423,0.2948,0.6795
701,CHARMM36,298.15,50.0,POPC (1),1.255,0.4213,0.2892,0.6856
