#POPC with CHOL 7% headgroup OP
M_G1C8_M M_G1C8H2_M -0.22972154 NaN 2 H%
M_G1C9_M M_G1C9H1_M -0.2149008 NaN 2 H%
M_G1C9_M M_G1C9H2_M -0.2149008 NaN 2 H%
M_G1C10_M M_G1C10H1_M -0.2089725 NaN 2 H%
M_G1C10_M M_G1C10H2_M -0.2089725 NaN 2 H%
M_G1C11_M M_G1C11H1_M -0.18822346 NaN 2 H%
M_G1C11_M M_G1C11H2_M -0.18822346 NaN 2 H%
M_G1C12_M M_G1C12H1_M -0.17488479 NaN 2 H%
M_G1C12_M M_G1C12H2_M -0.17488479 NaN 2 H%
M_G1C13_M M_G1C13H1_M -0.14079707 NaN 2 H%
M_G1C13_M M_G1C13H2_M -0.14079707 NaN 2 H%
M_G1C14_M M_G1C14H1_M -0.1333867 NaN 2 H%
M_G1C14_M M_G1C14H2_M -0.1333867 NaN 2 H%
M_G1C15_M M_G1C15H1_M -0.11560181 NaN 2 H%
M_G1C15_M M_G1C15H2_M -0.11560181 NaN 2 H%
M_G1C16_M M_G1C16H1_M -0.08299617 NaN 2 H%
M_G1C16_M M_G1C16H2_M -0.08299617 NaN 2 H%
M_G1C17_M M_G1C17H1_M -0.02223112 NaN 2 H%
M_G1C17_M M_G1C17H2_M -0.02223112 NaN 2 H%
M_G1C17_M M_G1C17H3_M -0.02223112 NaN 2 H%
#oleoyl
M_G2C3_M M_G2C3H1_M -0.08447824 NaN 2 Hx
M_G2C3_M M_G2C3H2_M -0.13486878 NaN 2 Hy
M_G2C4_M M_G2C4H1_M -0.20749042 NaN 2 H%
M_G2C4_M M_G2C4H2_M -0.20749042 NaN 2 H%
M_G2C5_M M_G2C5H1_M -0.21045457 NaN 2 H%
M_G2C5_M M_G2C5H2_M -0.21045457 NaN 2 H%
M_G2C6_M M_G2C6H1_M -0.22379324 NaN 2 H%
M_G2C6_M M_G2C6H2_M -0.22379324 NaN 2 H%
M_G2C7_M M_G2C7H1_M -0.19118761 NaN 2 H%
M_G2C7_M M_G2C7H2_M -0.19118761 NaN 2 H%
M_G2C8_M M_G2C8H1_M -0.18525931 NaN 2 H%
M_G2C8_M M_G2C8H2_M -0.18525931 NaN 2 H%
M_G2C9_M M_G2C9H1_M -0.14227915 NaN 2 H%
M_G2C9_M M_G2C9H2_M -0.14227915 NaN 2 H%
M_G2C10_M M_G2C10H1_M -0.12597633 NaN 1 H1
M_G2C11_M M_G2C11H1_M -0.03112356 NaN 1 H1
M_G2C12_M M_G2C12H1_M -0.07410372 NaN 2 H%
M_G2C12_M M_G2C12H2_M -0.07410372 NaN 2 H%
M_G2C13_M M_G2C13H1_M -0.12894048 NaN 2 H%
M_G2C13_M M_G2C13H2_M -0.12894048 NaN 2 H%
M_G2C14_M M_G2C14H1_M -0.13190463 NaN 2 H%
M_G2C14_M M_G2C14H2_M -0.13190463 NaN 2 H%
M_G2C15_M M_G2C15H1_M -0.12153011 NaN 2 H%
M_G2C15_M M_G2C15H2_M -0.12153011 NaN 2 H%
M_G2C16_M M_G2C16H1_M -0.12153011 NaN 2 H%
M_G2C16_M M_G2C16H2_M -0.12153011 NaN 2 H%
M_G2C17_M M_G2C17H1_M -0.11560181 NaN 2 H%
M_G2C17_M M_G2C17H2_M -0.11560181 NaN 2 H%
M_G2C18_M M_G2C18H1_M -0.08299617 NaN 2 H%
M_G2C18_M M_G2C18H2_M -0.08299617 NaN 2 H%
M_G2C19_M M_G2C19H1_M -0.02223112 NaN 2 H%
M_G2C19_M M_G2C19H2_M -0.02223112 NaN 2 H%
M_G2C19_M M_G2C19H3_M -0.02223112 NaN 2 H%
