M_N1C2_M M_N1C2H1_M -0.207 2 Hx
M_N1C2_M M_N1C2H2_M -0.148 2 Hy
M_N1C3_M M_N1C3H1_M -0.258 2 H%
M_N1C3_M M_N1C3H2_M -0.258 2 H%
M_N1C4_M M_N1C4H1_M -0.247 2 H%
M_N1C4_M M_N1C4H2_M -0.247 2 H%
M_N1C5_M M_N1C5H1_M -0.242 2 H%
M_N1C5_M M_N1C5H2_M -0.242 2 H%
M_N1C6_M M_N1C6H1_M -0.237 2 H%
M_N1C6_M M_N1C6H2_M -0.237 2 H%
M_N1C7_M M_N1C7H1_M -0.231 2 H%
M_N1C7_M M_N1C7H2_M -0.231 2 H%
M_N1C8_M M_N1C8H1_M -0.224 2 H%
M_N1C8_M M_N1C8H2_M -0.224 2 H%
M_N1C9_M M_N1C9H1_M -0.212 2 H%
M_N1C9_M M_N1C9H2_M -0.212 2 H%
M_N1C10_M M_N1C10H1_M -0.203 2 H%
M_N1C10_M M_N1C10H2_M -0.203 2 H%
M_N1C11_M M_N1C11H1_M -0.193 2 H%
M_N1C11_M M_N1C11H2_M -0.193 2 H%
M_N1C12_M M_N1C12H1_M -0.175 2 H%
M_N1C12_M M_N1C12H2_M -0.175 2 H%
M_N1C13_M M_N1C13H1_M -0.161 2 H%
M_N1C13_M M_N1C13H2_M -0.161 2 H%
M_N1C14_M M_N1C14H1_M -0.13 2 H%
M_N1C14_M M_N1C14H2_M -0.13 2 H%
M_N1C15_M M_N1C15H1_M -0.103 2 H%
M_N1C15_M M_N1C15H2_M -0.103 2 H%
M_N1C16_M M_N1C16H1_M -0.02 2 H%
M_N1C16_M M_N1C16H2_M -0.02 2 H%
M_N1C16_M M_N1C16H3_M -0.02 2 H%
